timestamp,x,y,angle
0.029573100007837638,0.12938322126865387,0.49035370349884033,-104.62398093108884
0.060112600011052564,0.12920202314853668,0.4898362159729004,-104.09267731142145
0.09192080001230352,0.12919827302296957,0.4900164107481639,-104.27750173055766
0.1240477999963332,0.12913159281015396,0.49003660678863525,-104.43407888076788
0.15580599999520928,0.12939322888851165,0.48997288942337036,-104.60536290967288
0.18812229999457486,0.12997681498527527,0.4896693229675293,-104.12151093895743
0.2220552999933716,0.13045851290225982,0.48961142897605897,-104.37476191342256
0.252121099998476,0.1309480130672455,0.4890965759754181,-103.91234242324711
0.28481399998418055,0.1314166784286499,0.48915746808052063,-104.03243967766959
0.3161074999952689,0.13148001730442047,0.489451014995575,-104.30034390781532
0.3641944999981206,0.1313966244459152,0.48974584937095644,-104.13281090239596
0.39627199998358265,0.13141853511333465,0.48984853029251096,-104.29397902216995
0.4283999000035692,0.1314021199941635,0.48983891010284425,-104.23178772704135
0.4601738000055775,0.13154515326023103,0.4886897146701813,-103.82070763324027
0.49266719998558983,0.13203720152378082,0.48691279292106626,-104.98775036036184
0.5238981999864336,0.13241921067237855,0.4840106129646301,-104.05717226502956
0.5564544000080787,0.13353351950645448,0.48068692684173586,-105.8237359304311
0.5883499000046868,0.13569225668907164,0.4766983985900879,-104.45768531013726
0.6203885999857448,0.1382586717605591,0.4721585750579834,-103.86382507502985
0.6531251999840606,0.14154110550880433,0.4671253740787506,-103.89399113813022
0.6845574000035413,0.14581158459186555,0.461449134349823,-103.61748066738274
0.716522900009295,0.1505367487668991,0.45505661964416505,-103.28801647767312
0.7640212000114843,0.15584655106067657,0.4486951768398285,-102.44963573832807
0.7966443999903277,0.16212176978588105,0.4424159526824951,-103.08247403063788
0.8283231999957934,0.16902148127555847,0.4361898601055145,-103.36346609124068
0.8604542000102811,0.1769092708826065,0.4307127892971039,-103.9600265172478
0.8922292999923229,0.1852636992931366,0.4249367296695709,-103.25298556306898
0.9236559999990277,0.19365869462490082,0.4196476459503174,-103.64499544173883
0.9557626000023447,0.20220704972743989,0.41466830372810365,-102.38491296567703
0.9877439999836497,0.2115737110376358,0.40972036123275757,-102.70559032583023
1.0200156999926548,0.22009353041648866,0.4059630513191223,-102.0951454946856
1.053439300012542,0.22873259484767913,0.4037890911102295,-101.40843542132653
1.0848096999980044,0.23780734837055206,0.40222732424736024,-100.80334529378247
1.1321478000027128,0.24682292640209197,0.40248913168907163,-99.93367118256276
1.164428999996744,0.2555999159812927,0.40392917990684507,-98.70261411060176
1.1962505000119563,0.26556947231292727,0.4059369385242462,-97.94992669867857
1.2301013999967836,0.2757639229297638,0.409255713224411,-98.11783436701928
1.2600836000056006,0.2853388965129852,0.4143552005290985,-96.57058684497552
1.2923317000095267,0.29496185183525087,0.4202519953250885,-96.09221844835747
1.3247174999851268,0.30471947193145754,0.4267563343048096,-96.43051336623954
