timestamp,x_raw,y_raw,x_norm,y_norm,angle_raw,angle_rel,palm_size
0.032949999993434176,0.16643087565898895,0.45685720443725586,-2.308480810335498,-0.21603786797923122,-105.51626945580215,-10.050497288580175,0.13076571729294825
0.06560830000671558,0.16582810133695602,0.45673343539237976,-2.3125496319801324,-0.21687332853274177,-105.80097959501452,-10.335207427792568,0.12943743360643054
0.09665590000804514,0.16567973295847574,0.45604968070983887,-2.313551141911252,-0.22148878036977346,-106.37566820933198,-10.909896042110006,0.1303822807899903
0.1282305000058841,0.16553008556365967,0.4566594436764717,-2.3145612854041553,-0.21737278427298456,-106.12389498233165,-10.658122815109692,0.13046099348885773
0.15930609998758882,0.16504171192646028,0.45671411156654357,-2.3178578844016107,-0.21700376740172722,-106.21820172083062,-10.752429553608664,0.1299713513288942
0.19077369998558424,0.1643265277147293,0.4566817104816437,-2.3226854905125967,-0.21722247982979753,-106.91756915503449,-11.451796987812543,0.13015392979132934
0.2229427999991458,0.16348683536052705,0.45702738761901857,-2.3283535462023104,-0.21488910468889486,-106.60643728126303,-11.14066511404107,0.12978877891906568
0.27031829999759793,0.16191769242286683,0.4584886789321899,-2.3389455082599246,-0.20502515808928706,-107.16594257693141,-11.700170409709472,0.12926552049721762
0.3031118999933824,0.16025713086128235,0.45941445231437683,-2.3501545604326104,-0.19877604189806586,-107.30361216642105,-11.837839999199105,0.12946171893208097
0.33517869998468086,0.15885726511478424,0.4608870089054108,-2.3596038747791868,-0.18883605289796962,-107.06602214929022,-11.600249982068249,0.12936886465952865
0.3669721999904141,0.15772384107112886,0.46247912645339967,-2.367254665651997,-0.17808900860084165,-106.95905598368084,-11.49328381645887,0.12915501091026704
0.3995103999914136,0.15697818100452424,0.4636756479740143,-2.3722879885850445,-0.17001229981714955,-107.3903017372598,-11.924529570037862,0.12905323137868155
0.43071749998489395,0.1570202887058258,0.46393592953681945,-2.372003754966924,-0.168255358259206,-107.69507500383503,-12.229302836613073,0.1297316299649547
0.4632032999943476,0.1571933537721634,0.4634024083614349,-2.3708355385016477,-0.17185671025269167,-107.93891234353238,-12.473140176310437,0.1293448969150843
0.4950045000005048,0.15785650312900543,0.4623161256313324,-2.3663591758595826,-0.1791892898316076,-107.50279154612593,-12.037019378903977,0.12881986577251398
