trial_id,condition,timestamp,tracking,x_raw,y_raw,x_norm,y_norm,angle_raw,angle_rel,palm_size,path_error,angle_error,speed,nearest_reference_index,reference_progress
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.02995589999773074,1,0.1405668705701828,0.48313605785369873,0.017509036817655095,0.016569502227989776,-102.30861699703965,2.012965689916996,0.09522818986019593,0.0637883029306833,7.2284399312130745,0.0,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.061903599998913705,1,0.14048410952091217,0.4834429621696472,0.017097573711599173,0.018095338405938594,-102.62107465278122,1.7005080341754137,0.0957928728865248,0.06404330009120625,6.915982275471492,0.04948633250347655,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.09439290000591427,1,0.14153310656547546,0.48355576395988464,0.02043728505855649,0.01897782823657204,-102.39058473313177,1.9309979538248854,0.09437596936553522,0.06064107396345463,7.146472195120964,0.0779182624067757,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.12630669999634847,1,0.14103420078754425,0.48418015241622925,0.020866935811810237,0.020971209186274355,-102.14598683427067,2.175595852685973,0.09484660126331493,0.06008611446969167,7.3910700939820515,0.07323864464995238,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.15857949999917764,1,0.14123861491680145,0.4840461015701294,0.021531240551762025,0.021900653521160048,-102.02536936392082,2.296213323035829,0.09531502823352483,0.05938561207740559,7.511687564331908,0.06377884546166042,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.190197599993553,1,0.1419193297624588,0.4841385781764984,0.024220849081243355,0.02389434562409367,-102.26673713175288,2.0548455552037694,0.09575319674548217,0.0566658032058638,7.270319796499848,0.0722006683992505,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.22187169999233447,1,0.1419839709997177,0.482738733291626,0.027203593588045964,0.022493859747809708,-102.15759288987164,2.1639897970850086,0.09503520781992685,0.0536987882509302,7.379464038381087,0.08311712997630395,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.25420049999956973,1,0.14191065728664398,0.4845014810562134,0.027954421151469774,0.024374588411039348,-102.29396431479799,2.0276183721586563,0.09396232961119329,0.05293529913477601,7.243092613454735,0.0743778049608966,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.28608160000294447,1,0.1435978263616562,0.48431140184402466,0.033052652025943645,0.024635601521456604,-102.17052774054937,2.151054946407271,0.09434785661843996,0.04784126779354794,7.36652918770335,0.09360952245623397,0,0.0
B_path_wrong_20260903_154107_930342,B - PATH WRONG,0.33395569999993313,1,0.14266729354858398,0.4830706715583801,0.03589383662942398,0.02269578337796214,-102.1777985181966,2.1437841687600496,0.09538476817933264,0.04500620519385782,7.359258410056128,0.10090443897174237,0,0.0
